,ship_id,ship_time,ship_lat,ship_lon,ship_depth,ship_temp,turtle_id,turtle_time,turtle_lat,turtle_lon,turtle_depth,turtle_temp,FVCOM_temp,ROMS_temp
10,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 14:15:21,38.62680817,-73.67279053,"3,20,24,26,27,28,30,31,33,34,37,46","23.035,22.7274,22.1251,21.2153,20.3182,19.0111,15.0384,13.7826,10.8223,10.4635,10.2584,10.22","22.406239, 19.323162, 18.324215, 17.988964, 17.654366, 17.321526, 16.991533, 16.665937, 16.034286, 16.034286, 15.165112, 14.120891","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
11,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 15:49:53,38.61566162,-73.65830231,"3,18,21,23,24,25,26,27,28,29,34,46","23.035,22.6766,22.1774,20.7694,19.3102,16.4046,13.243,11.4382,10.8366,10.4782,10.2734,10.235","22.483059, 19.765825, 18.745903, 18.403858, 18.063335, 17.725563, 17.725563, 17.39196, 17.063673, 16.741875, 15.833282, 14.266301","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
12,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 18:08:47,38.60604858,-73.65393829,"3,17,21,23,25,26,27,28,30,33,47,54","22.855,22.5982,21.9947,20.5823,18.3225,16.2552,13.3277,11.6714,10.657,10.3617,10.015,10.015","22.60998, 19.408644, 18.325214, 17.972925, 17.288227, 17.288227, 16.958357, 16.637371, 16.327385, 15.480559, 14.214061, 13.958319","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
13,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 18:08:47,38.60604858,-73.65393829,"3,19,24,25,27,29,30,31,32,34,38,54","22.5592,22.61,22.0514,21.6579,19.6648,16.2752,13.495,11.7558,11.1972,10.6005,10.207,9.915","22.60998, 19.04544, 17.626774, 17.288227, 16.958357, 16.327385, 16.327385, 16.029894, 15.74673, 15.480559, 14.818194, 13.958319","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
14,HB0905   ,2009-09-21 08:04:00,38.3533,-74.42,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38","20.9,20.9,20.9,20.9,20.9,20.9,20.96,21.12,21.34,21.56,21.62,21.67,21.7,21.76,21.8,21.84,21.89,21.98,22.03,22.1,22.11,22.11,22.09,22.09,22.01,22.03,22.17,22.18,21.96,21.83,21.8,21.79,21.78,21.78,21.77,21.77,21.77,21.77",97624,2009-09-23 09:12:04,38.31642914,-74.41136932,"3,6,8,10,12,15,16,18,19,20,23,27","20.0699,20.0355,19.9438,19.7204,19.1244,19.07,19.2132,19.9553,20.3507,20.9895,21.4967,21.935","20.370682, 20.113886, 20.001621, 19.885513, 19.747538, 19.510191, 19.430475, 19.219442, 19.16706, 19.128988, 19.09, 19.116577","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
15,HB0905   ,2009-09-21 08:04:00,38.3533,-74.42,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38","20.9,20.9,20.9,20.9,20.9,20.9,20.96,21.12,21.34,21.56,21.62,21.67,21.7,21.76,21.8,21.84,21.89,21.98,22.03,22.1,22.11,22.11,22.09,22.09,22.01,22.03,22.17,22.18,21.96,21.83,21.8,21.79,21.78,21.78,21.77,21.77,21.77,21.77",97624,2009-09-23 12:07:17,38.3066597,-74.42008209,"3,7,10,12,16,17,19,20,21,22,25,28","18.985,18.985,19.1794,19.217,19.4615,19.6465,20.6058,21.3551,21.6027,21.725,21.8849,22.12","20.333431, 20.031464, 19.854038, 19.7181, 19.407305, 19.25996, 19.140432, 19.096178, 19.06368, 19.042486, 19.028368, 19.049326","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
16,HB1005   ,2010-09-15 23:24:00,37.68,-75.0033,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","22.93,22.95,22.95,22.96,22.95,22.9,22.85,22.78,22.75,22.73,22.68,22.65,22.85,22.96,22.94,22.98,23.02,23.03,23.06,22.7,22.12,21.67,20.28,18.74,17.36,17.47,17.44",100125,2010-09-16 10:20:42,37.63964844,-75.02458191,"2,14,20,21,22,24,25,26,30,32","22.75,22.3706,21.0537,20.7635,19.655,18.4274,17.4378,17.4081,15.8308,15.31","22.717695, 21.624342, 21.225906, 21.225302, 21.22771, 21.231808, 21.23153, 21.220877, 21.069143, 21.069143","22.377445, 22.425907, 22.281624, 21.77246, 21.305794, 20.074768, 18.941488, 18.566692, 18.17107, 18.17107"
17,HB1005   ,2010-09-16 01:39:00,37.8067,-74.825,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","22.49,22.5,22.49,22.49,22.49,22.5,22.51,22.48,22.38,22.18,21.86,20.76,19.58,18.01,16.32,15.22,15.13,15.14,15.12,15.05,14.95,14.8,14.69,14.62,14.9,15.05,15.02,14.99,14.93,14.96,14.88,14.82,14.2,13.52,13.3,13.16,13.11",100128,2010-09-14 08:25:49,37.83496094,-74.7859726,"2,9,14,15,16,17,19,20,25,41","22.6,22.563,22.0166,21.2851,19.6183,17.294,15.6272,15.5531,13.7752,13.34","22.563343, 22.003586, 21.06329, 20.877699, 20.689207, 20.307665, 19.924177, 19.733206, 18.81964, 17.429169","22.325651, 22.330774, 22.334309, 22.336058, 22.338448, 22.341349, 22.346302, 22.35227, 20.46243, 15.95381"
18,HB1005   ,2010-09-17 21:28:00,38.3383,-74.5033,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44","22.44,22.44,22.44,22.4,22.33,22.31,22.32,22.23,22.04,21.86,21.81,21.81,21.76,21.68,21.57,21.53,21.43,20.66,18.02,15.59,13.77,12.87,11.67,11.39,11.29,10.8,10.45,10.22,10.17,10.15,10.13,10.13,10.11,10.1,10.1,10.09,10.09,10.08,10.08,10.07,10.08,10.07,10.07,10.07",100116,2010-09-20 09:36:32,38.33216095,-74.44953918,"2,3,6,13,14,15,16,17,18,19","22.14,22.14,22.0767,22.0537,22.0227,21.9502,21.8329,21.5891,21.1027,20.99","21.818521, 21.81719, 21.656906, 21.066357, 20.87826, 20.776434, 20.669556, 20.441353, 20.320374, 20.195097","21.670324, 21.67105, 21.676495, 21.679502, 21.679657, 21.679886, 21.68048, 21.680643, 21.680035, 21.675432"
19,HB1005   ,2010-09-20 21:28:00,38.88,-73.515,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.64,20.66,20.66,20.67,20.44,20.08,19.76,19.46,18.51,17.25,15.72,14.5,12.82,10.51,9.87,9.38,9.33,9.32,9.31,9.31,9.28,9.26,9.25,9.25,9.24,9.23,9.23,9.23,9.24,9.24,9.24,9.24,9.24,9.24,9.23,9.22,9.21,9.2,9.2,9.21,9.2,9.2,9.2,9.19,9.19,9.19,9.19,9.19,9.19",100127,2010-09-18 17:08:00,38.90597153,-73.48445129,"2,8,18,24,26,33,39,60,67,70","20.532,20.0385,20.7,19.251,18.432,13.98,12.3315,10.6515,11.3445,10.2","21.032913, 20.675243, 18.930569, 17.798069, 17.343754, 16.363962, 15.666121, 14.271699, 14.27042, 14.27042","20.891113, 20.883099, 20.847437, 20.819128, 20.456676, 15.83378, 12.289812, 8.830733, 8.830733, 8.830733"
